1	13
2	12
3	17
4	10
5	16
6	16
7	15
8	18
9	12
10	10
11	15
12	17
13	20
14	12
15	15
16	12
17	14
18	13
19	13
20	15
21	16
22	10
23	16
24	18
25	13
26	16
27	17
28	13
29	19
30	17
31	14
32	15
33	18
34	13
35	10
36	15
37	17
38	18
39	17
40	18
41	17
42	14
43	16
44	16
45	12
46	12
47	17
48	13
49	13
50	14
51	10
52	15
53	17
54	17
55	10
56	12
57	16
58	15
59	19
60	16
61	13
62	15
63	2
64	16
65	20
66	4
67	17
68	19
69	15
70	16
71	15
72	14
73	15
74	19
75	12
76	18
77	12
78	14
79	16
80	16
81	16
82	16
83	10
84	17
85	13
86	16
87	14
88	17
89	13
90	17
91	16
92	6
93	10
94	18
95	7
96	19
97	10
98	20
99	20
100	16
