17	82	9	47	20	9	9	0
20	84	6	59	38	1	8	0
7	83	19	96	11	5	9	0
8	96	4	16	13	10	1	0
1	65	3	83	22	2	1	0
11	45	10	25	29	9	2	0
6	43	9	42	43	5	4	0
12	91	16	58	27	9	4	0
1	34	6	56	12	3	8	0
6	86	5	73	42	8	7	0
13	33	13	60	25	5	5	0
13	72	18	89	47	8	6	0
10	42	17	43	22	4	7	0
4	65	4	75	40	1	1	0
8	81	7	57	23	1	4	0
20	21	8	54	23	4	8	0
2	29	4	64	4	7	3	0
1	89	18	38	3	2	10	0
1	82	8	56	37	6	2	0
8	8	7	28	10	3	1	0
6	49	5	33	24	5	10	0
10	39	5	36	19	10	2	0
3	99	3	62	13	2	1	0
9	83	19	79	13	6	9	0
12	30	8	70	27	5	9	0
19	32	5	15	32	6	8	0
17	33	5	84	32	4	7	0
5	33	15	13	11	10	4	0
6	22	19	61	49	7	3	0
2	64	11	94	4	9	2	0
20	38	13	73	41	3	8	0
5	58	14	69	18	10	4	0
18	95	9	20	46	10	4	0
12	52	13	74	48	7	6	0
10	18	11	84	24	10	9	0
11	60	10	96	16	9	6	0
12	17	17	53	35	8	9	0
16	75	17	78	31	7	5	0
13	81	17	60	37	4	7	0
8	91	11	66	25	5	0	0
8	63	7	82	13	9	6	0
15	12	11	89	41	8	5	0
8	18	8	57	30	7	6	0
15	29	7	83	19	8	8	0
13	44	12	69	25	5	3	0
4	87	17	61	24	3	6	0
6	4	16	54	16	1	9	0
19	63	12	20	38	4	2	0
2	69	9	95	17	8	4	0
14	47	9	75	31	6	4	0
10	82	11	76	50	6	2	0
5	4	16	62	11	2	10	0
11	71	11	48	34	6	1	0
19	73	20	25	35	5	9	0
8	31	15	40	32	5	3	0
13	79	15	54	47	10	5	0
3	70	4	91	12	5	6	0
14	86	9	41	39	7	8	0
11	66	17	62	31	9	3	0
3	11	17	56	25	2	2	0
2	39	5	27	14	7	2	0
14	18	16	63	49	7	5	0
13	63	19	40	22	5	8	0
3	75	7	54	47	2	1	0
9	48	5	51	14	5	8	0
10	79	8	92	24	7	4	0
13	83	11	33	25	6	9	0
15	79	13	70	46	8	9	0
10	27	4	51	11	9	1	0
16	16	11	57	41	6	9	0
5	53	4	45	29	3	1	0
2	55	20	96	41	6	5	0
7	54	5	41	18	4	4	0
20	8	15	79	33	4	9	0
1	55	14	87	38	9	5	0
18	45	14	81	17	4	8	0
4	86	4	68	42	7	7	0
2	45	13	30	32	8	2	0
3	97	12	72	44	5	1	0
17	74	13	83	43	6	9	0
20	19	6	70	24	4	4	0
12	7	15	71	15	5	4	0
16	14	14	58	31	10	8	0
5	89	19	34	8	2	10	0
18	52	18	80	19	5	10	0
6	31	18	33	33	5	6	0
7	22	15	72	40	5	3	0
8	53	3	45	36	3	0	0
13	32	10	33	48	5	4	0
4	79	6	89	32	4	3	0
9	38	12	18	11	4	3	0
17	11	3	57	47	7	10	0
10	19	18	40	32	6	8	0
3	8	7	39	9	3	2	0
4	3	10	40	33	2	2	0
9	32	16	79	27	1	3	0
5	76	13	13	18	2	3	0
2	79	8	76	18	4	4	0
14	53	8	78	43	6	4	0
1	3	9	20	17	3	2	0
7	19	16	24	32	3	10	0
20	1	14	94	31	1	3	0
9	22	15	58	44	6	2	0
3	45	9	33	45	7	2	0
19	99	19	42	41	8	7	0
6	28	16	30	14	6	8	0
6	44	5	41	38	10	2	0
12	24	13	60	16	9	4	0
7	17	16	13	26	4	7	0
14	89	11	98	22	4	5	0
19	67	20	83	23	7	8	0
12	4	13	61	16	5	6	0
7	96	7	16	9	7	4	0
3	98	4	94	17	1	2	0
5	78	13	19	19	5	5	0
16	50	12	54	32	7	10	0
7	78	17	20	18	3	6	0
11	61	7	18	29	5	10	0
3	12	4	64	24	4	1	0
13	43	18	69	40	9	4	0
